Asset,Method,Pivot,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
ETH-USD,gray,BTC-USD,0.41672678669479,-0.5452773424457562,-0.0868663635374066,0.5501589769239555,0.4877496707656933,0.06679890269276662,0.8935849012197241,0.31265681902915715,0.1735882620202998,0.825484911807077,0.9791424609928455,0.7073375116060684
ETH-USD,plugin,BTC-USD,0.5904552212396961,0.5929711772883565,-0.6630231272662561,0.7642976496830544,0.6761565450800957,0.24243042325165287,0.6657346077395387,0.5989138105488456,0.3195523853126131,0.6704346479203145,0.7854305671080981,0.8104710331396846
ETH-USD,quadrature,BTC-USD,0.28524314849805793,-0.37207600994680406,-0.06235220677303973,0.42781725891820804,0.456461079132965,0.060844157367874796,0.9,0.24518848808024188,0.14174535356670984,0.8569385815519133,0.9652583485618,0.7369782443647837
ETH-USD,particle,BTC-USD,5.693856300617955e-07,5.706353848104451e-07,0.0500005685290529,0.05000056191250612,0.3000001930672113,0.050000096164777276,0.8500000028403453,0.10000021980500626,0.08000009051648753,0.7800000202252549,0.9500000006155608,0.8000000276258112
LTC-USD,gray,BTC-USD,0.20389089853626421,-0.17566346883121903,-0.1140588833172351,0.2751485418829284,0.4091745829210613,0.0845013472677038,0.9,0.18685907848644032,0.13551949052487866,0.8606381417646193,0.9883844647722838,0.7560646000866124
LTC-USD,plugin,BTC-USD,-0.6147659056091477,0.6157211782934054,-0.5238643763229696,0.6990357809265567,0.3360386685396343,0.20331227446526798,0.7488343855004413,0.42380983835305314,0.3038968917924727,0.6945671744800741,0.8039514711593585,0.8735686643058479
LTC-USD,quadrature,BTC-USD,0.19227688533691403,-0.16252256485992872,-0.11492414380467748,0.2712690138165902,0.41300869014700364,0.08647510565961865,0.9,0.18974978967088377,0.14092152527310786,0.8584536161952683,0.9806680292985174,0.7488255462210553
LTC-USD,particle,BTC-USD,0.0,0.0,0.05,0.05,0.3,0.05,0.85,0.1,0.08,0.78,0.95,0.8
XRP-USD,gray,BTC-USD,0.4513172730860477,-0.4647982381425576,-0.30283324415426016,0.4798571591755347,0.5407944116415043,0.0350252293796676,0.9,0.28137600092291726,0.1949960628474973,0.8011525988898237,0.9488714047920761,0.7323791292259609
XRP-USD,plugin,BTC-USD,0.4094273350967515,-0.4083757187042325,-0.3650661627475327,-0.361426776024082,0.4398854883077046,0.11683941128269958,0.8829300384448615,0.25449914738260243,0.13481441489356163,0.7828689176138867,0.9479079422893417,0.7367373255402376
XRP-USD,quadrature,BTC-USD,0.5023783987220266,-0.5475411953469439,-0.21899219843278991,0.39817126900464717,0.5734754362495882,0.04554509761454755,0.9,0.313113172783763,0.21303002571998,0.7868686201747099,0.9437516203835665,0.7205198390060703
XRP-USD,particle,BTC-USD,0.0032290738323133335,0.0032249937794289313,0.05319386727309603,0.046738311560523056,0.30109431038683815,0.050549922480819014,0.8500300392931351,0.09993581267703065,0.07994520746525301,0.7800769063323814,0.9500259824405596,0.800122764519356
DOGE-USD,gray,BTC-USD,0.33749941014124185,0.14288964721633723,-0.28997566520023466,0.3866704806454617,0.4231012343363542,0.11495842196317642,0.8844601028039129,0.23847910293276547,0.14265838869266473,0.7961962547334781,0.9397231716205497,0.7458019148237524
DOGE-USD,plugin,BTC-USD,-0.6670470791980535,0.6699041716719587,-0.5781127357524077,0.7548364041663602,0.3549064544652857,0.21273614660692453,0.7381040258665537,0.43772019914423116,0.3194222338344561,0.6804212704384632,0.7971573207492161,0.8755126126362885
DOGE-USD,quadrature,BTC-USD,0.3266223204685398,0.17609395497709698,-0.2775845657425658,0.37750638720308727,0.4121160380541134,0.11276747416007527,0.8872104996179239,0.22460907343925493,0.13947163561277579,0.7981419100557064,0.9400307307376831,0.7510698693273529
DOGE-USD,particle,BTC-USD,6.245913126010838e-06,5.020754280751803e-06,0.05000423946493051,0.04999080567342203,0.3000021510794528,0.04999940501546984,0.8499956361375541,0.10000039122998695,0.08000341627481056,0.7800030313088948,0.9499904317019823,0.8000010551588796
NMC-USD,gray,BTC-USD,0.29119306139980317,0.2977382369863981,-0.2787612755582133,0.45107334863877935,0.4738490205662659,0.06777156123465963,0.9,0.26109057483202197,0.219542841207113,0.7801315890426203,0.8731710614978058,0.747038280550466
NMC-USD,plugin,BTC-USD,0.28006689522129247,0.3164519905097629,0.3635540213859365,-0.27022115946873354,0.408148065193822,0.10898731529798582,0.8907423046793537,0.21999093597851438,0.12366712588894016,0.7827918291883287,0.9486352655613371,0.7508980668764459
NMC-USD,quadrature,BTC-USD,0.1892753407779044,-0.24618455329185315,-0.2545535030190411,0.9347451119268188,0.7896199449024744,0.09997258896872999,0.9,0.47492539835980785,0.35405623487174204,0.36586055328869715,0.97243252498318,0.773494783528946
NMC-USD,particle,BTC-USD,2.140364153930754e-06,-2.140364153930754e-06,0.049997838232204536,0.049997838232204536,0.29999987162095804,0.04999997863916575,0.8500000214036415,0.09999995723552421,0.08000035101972125,0.7799996661459992,0.9500000171229132,0.7999996618224637
