Asset,Method,Pivot,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
IEI,gray,^TNX,-0.0011113675493922485,-1.1456379838666935e-05,0.0025985610228957652,-1.5555876530849205e-05,0.026960040447049475,0.33224463915046576,0.6634554164578551,0.0001,0.0001,0.0001,0.7347104577727658,0.46421279761123174
IEI,plugin,^TNX,0.00017677669331400857,-0.008458938533078351,0.00015134546848975312,-0.002619354253683465,0.0001,0.0001,0.0001,0.008627939308697645,0.28780761998126236,0.7121903378062948,0.5017774582897171,0.7526005613010017
IEI,quadrature,^TNX,0.00047207641557514877,0.00012542092978462289,0.0021651755772538923,6.139780480659369e-05,0.0001,0.28404857291414815,0.5711522063693241,0.0001,0.0001,0.0001,0.7166713359396445,0.48503194662963195
IEI,particle,^TNX,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
TLT,gray,^TNX,-0.02245570564349329,-0.00014369540869411116,-0.0023679302253907957,-9.112973005743345e-05,0.28593205241964337,0.1930443150629776,0.8004988574874767,0.0001,0.0001,0.0001,0.7471027145719409,0.46068121736067147
TLT,plugin,^TNX,0.04045007065546464,-0.00048089587413147587,0.013635465388363166,5.732559623767767e-05,0.040524441643190696,0.12725964629984224,0.8727386830225197,0.0001,0.0001,0.0001,0.746913108065039,0.5183525999332079
TLT,quadrature,^TNX,-0.028492837273126265,-0.00027418294138233763,0.005868588634721672,2.9042440165641336e-05,0.1776118410757965,0.17359844816222217,0.8242965489048274,0.0001,0.0001,0.0001,0.74067187886675,0.46734272526590903
TLT,particle,^TNX,1.6639254802787907e-06,1.6886351178761984e-06,0.09999818156265243,0.09999818581417469,0.09999993157885669,0.09999995096683024,0.6999997525128996,0.19999989996558296,0.1999999641664204,0.5999997220998908,0.8999996002718378,0.8999999735637388
BNDX,gray,^TNX,0.007170497904523974,0.0004849847386143571,-0.009943691302626144,0.00013554859887548098,0.024870207236203055,0.29588535604064903,0.7019228538719723,0.0001,0.0001,0.0001,0.7255331697825893,0.47323241923707404
BNDX,plugin,^TNX,0.0003795200056398556,0.009794400814835132,0.0001282211134650862,-0.0050025122108592925,0.0001,0.0001,0.0012019684406012168,0.010260294131922988,0.3730606287098011,0.6265073981640737,0.4482418456095067,0.7257931225631723
BNDX,quadrature,^TNX,0.008240597433448127,0.0004214061786053797,-0.00988054790082294,0.0001438696671911737,0.0001,0.2883435278469126,0.5663965048722239,0.0001,0.0001,0.0001,0.7054957432694247,0.46496512119106354
BNDX,particle,^TNX,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
LQD,gray,^TNX,0.004382250749056153,-1.6172403825479035e-05,0.011058362009564067,-0.00019670039549275116,0.08949966165030308,0.3174921679063031,0.6824946040680185,0.0001,0.0001,0.0001,0.7550623186480254,0.4699684770662092
LQD,plugin,^TNX,0.015295430941879297,6.274353370104772e-05,0.01102960415647403,-0.0001720894747711793,0.028623607240215926,0.3169242414429699,0.6830735762401089,0.0001,0.0001,0.0001,0.815428564144085,0.5081380387699513
LQD,quadrature,^TNX,0.04748029986852061,1.7448112912433553e-05,0.023008856686372765,-0.00014102288425491,0.023106431735970854,0.3554745840988779,0.6445228349232055,0.0001,0.0001,0.0001,0.7441422440946072,0.3964803976939057
LQD,particle,^TNX,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
HYG,gray,^TNX,0.03778227513969399,-0.00028150400615925265,-0.009757368860152977,2.2205869940353785e-06,0.08314529043077126,0.3435577235017709,0.6564358483986509,0.0001,0.30800356825794517,0.0001,0.4547533274927253,0.39327239468189856
HYG,plugin,^TNX,0.020064374035177794,-6.0624923504942224e-05,-0.012377530102205426,-3.7623228050990244e-05,0.027364077299713355,0.45400215291947144,0.5459978434806881,0.0001,0.0001,0.0001,0.6616412891209211,0.4027013537858442
HYG,quadrature,^TNX,0.03198789959015316,-0.00010166079897604182,-0.010955102095262013,1.801520341529397e-05,0.035020003508554984,0.3465749861495127,0.6534249219413072,0.0001,0.4030269274646762,0.0001,0.4341082075300986,0.4187768145966454
HYG,particle,^TNX,5.01107253024531e-07,5.01107253024531e-07,0.09999948887060192,0.09999948887060192,0.10000019042075615,0.10000008017716049,0.7000000200442901,0.19999997996573204,0.19999997996573204,0.5999999398771517,0.9000000090199306,0.899999910802909
