Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
ETH-USD,gray,0.6125894764334784,-0.6392531641102773,0.0,0.0,0.5421501775690301,0.05983953651914966,0.8999999999999394,0.3453375735241257,0.19282795294524552,0.8056588198616519,0.9044907254445851,0.7191441107977191
ETH-USD,plugin,0.31340446629797264,0.12083858814568399,0.0,0.0,0.4090790030133412,0.10811703366176532,0.8918558511403066,0.2186022806780297,0.12491397112734284,0.7827869015648765,0.9506184865386194,0.7508486639004575
ETH-USD,quadrature,0.43925106487372645,-0.44039178732932316,0.0,0.0,0.4501081361028088,0.10804726429079302,0.8919099004722781,0.2665431128965311,0.14732005878592588,0.7953901833904027,0.9554120433458231,0.7309162185183564
ETH-USD,particle,2.228628668112918e-06,-2.223275461982552e-06,0.0,0.0,0.3000007531792435,0.050000380827226236,0.8499996250221358,0.09999995204842962,0.08000036339969667,0.7800000561415217,0.9500000181050374,0.7999996466290199
LTC-USD,gray,0.4180617940369248,-0.3489989148511659,0.0,0.0,0.4426250033058591,0.11282768078196986,0.8867115904419843,0.258577516532279,0.14393710519597927,0.7943913441255579,0.9562854321634248,0.7336786392417607
LTC-USD,plugin,-0.03388859030765768,0.10387395374887827,0.0,0.0,0.4205304892816431,0.11014083704349763,0.8898283174832813,0.22967396414745617,0.13138141411753823,0.7840447802283665,0.9507624597224003,0.7462214622861152
LTC-USD,quadrature,0.4244064467636744,-0.3185558099160579,0.0,0.0,0.44485866065225693,0.11511569594197132,0.8848079987200801,0.2610506387227961,0.1455055499877076,0.7942818775174926,0.9563011033977474,0.7326584461199314
LTC-USD,particle,-5.9891755987873866e-06,6.054270777152511e-06,0.0,0.0,0.3000018730207152,0.0499985346049481,0.8499988079745541,0.10000271099375069,0.08000064333141439,0.7799994908127136,0.9500002668065888,0.7999995632103293
XRP-USD,gray,0.4433814990332772,0.6429787551656168,0.0,0.0,0.33788113417609356,0.17054765972967298,0.7626412764813878,0.4196888319366948,0.2862972899601611,0.7135652054199968,0.8159740332161836,0.8847491443855202
XRP-USD,plugin,0.42483182214965404,-0.42417396945500885,0.0,0.0,0.44689186089818034,0.12231283390389715,0.8773760219002033,0.2606836417488659,0.14243592642419348,0.7849131467938091,0.9488610578106278,0.734055083136372
XRP-USD,quadrature,1.4539460224785532,-1.4449072232685645,0.0,0.0,0.8730533869437878,0.18630005061072527,0.8134219884924572,0.6843950551569253,0.3882515590420232,0.554054240744624,0.7273805597198073,0.7522957949081603
XRP-USD,particle,-1.065527839411346e-09,-1.065527839411346e-09,0.0,0.0,0.2999999999360896,0.04999999998936604,0.8499999998188815,0.10000000040490059,0.07999999998297287,0.779999999833799,0.9499999997996807,0.7999999998316466
DOGE-USD,gray,0.416670079319538,0.03670117325150455,0.0,0.0,0.43967314774153954,0.10633207148042455,0.8934971389721654,0.25769354270691,0.16085669221213988,0.8028759545864942,0.9630822157422579,0.731928762438246
DOGE-USD,plugin,0.25671101025247983,-0.2505017942661514,0.0,0.0,0.38651809035160495,0.10721061591467723,0.8927856809625029,0.1954852746518629,0.10888083435153927,0.7798062412116916,0.9476248700890861,0.7611523153362995
DOGE-USD,quadrature,0.7571445697967514,0.7575525094254051,0.0,0.0,0.3855883651313235,0.21213191374886567,0.7378279655712877,0.4723113304639768,0.31389304013521824,0.6808810091437139,0.7703996289677348,0.9076344533796955
DOGE-USD,particle,0.0,0.0,0.0,0.0,0.3,0.05,0.85,0.1,0.08,0.78,0.95,0.8
NMC-USD,gray,0.35163694216089925,0.3519378385041566,0.0,0.0,0.42047038440188583,0.11212469851461909,0.886099709141723,0.23356997022968126,0.1309858030090913,0.7921586978676276,0.9637648683119544,0.7428028351945476
NMC-USD,plugin,-0.39691169736924575,0.7938398202982684,0.0,0.0,0.40405754424110213,0.24302983061535077,0.7559718529528151,0.48138729622555154,0.2947512634188733,0.634187629361491,0.7759890420314796,0.8951158380958092
NMC-USD,quadrature,0.33940947633447544,0.33974491894438397,0.0,0.0,0.4164604503675981,0.11068531212646888,0.887916431663585,0.2289065824810491,0.1275663966563049,0.7921294389041122,0.9659121208001602,0.7444232323153741
NMC-USD,particle,-3.1791982764009008e-06,3.17837243346737e-06,0.0,0.0,0.2999998085510351,0.050000540017858947,0.8499994588193225,0.09999993586911288,0.08000052077740934,0.7799995030877654,0.9499994017943343,0.8000001210290744
BTC-USD,gray,0.3249959022972464,-0.13255574991386715,0.0,0.0,0.8259095903755096,0.03001459072283499,0.9,0.3511226189972361,0.3121025205649423,0.6870909044899584,0.8264687585272519,0.7182890442574804
BTC-USD,plugin,0.2966994582583558,0.21827969943115946,0.0,0.0,0.40599890631600905,0.11189062250535242,0.8873738140828388,0.09149127873432729,0.1184134226275519,0.7786131942969667,0.9415079756982725,0.7554624476024353
BTC-USD,quadrature,0.30179652822784847,0.07769990839068387,0.0,0.0,0.8127847213937378,0.02623995344454065,0.9,0.30072529450488816,0.34646474001680555,0.6484634051079415,0.8634572884629884,0.7211191395059653
BTC-USD,particle,9.053700754013852e-06,9.053700754013852e-06,0.0,0.0,0.29999945695902874,0.050001539129128185,0.8499984610519458,0.10000344040628653,0.07999985532186195,0.7799985878037564,0.9499982979042582,0.7999985695152809
