Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
^FTSE,gray,0.07198305260996006,-6.001711106462826e-05,0.0,0.0,0.2686844915326628,0.3660783085903595,0.6336871772397489,0.0001,0.0001,0.0001,0.7607432655687365,0.4447955389835455
^FTSE,plugin,-0.0002724952019607776,0.03552020201626975,0.0,0.0,0.0001,0.0001,0.0001,0.10620663162447479,0.29888595978993177,0.695434477987287,0.5688748944835332,0.7553055921216647
^FTSE,quadrature,0.05171014135523639,-6.193139496479122e-05,0.0,0.0,0.2243682454835079,0.3836177550997496,0.6159168862669798,0.0001,0.0001,0.0001,0.7258219300526755,0.47846989372728027
^FTSE,particle,3.4103354305030547e-06,3.4080087259874744e-06,0.0,0.0,0.1000012753435199,0.10000057224352764,0.7000001318386637,0.20000123419150723,0.2000004725538772,0.600000219316087,0.9000000567799092,0.9000000636264287
^N225,gray,0.058787790365005546,0.00013270872865282012,0.0,0.0,0.5097208005918034,0.18806821739576585,0.8031612633707699,0.0001,0.0001,0.0001,0.7046746351585322,0.4933831854182602
^N225,plugin,-0.00015055396184653235,0.06663899477599124,0.0,0.0,0.0001,0.0001,0.0001,0.1062446767917433,0.1389138451836701,0.844388561994145,0.5295538653008582,0.7529398491842727
^N225,quadrature,0.10007572725157962,0.00030346158540610314,0.0,0.0,0.6615084185299275,0.22444656970783572,0.7754814885430535,0.0001,0.0001,0.0001,0.6440968054075575,0.6347529848840846
^N225,particle,-9.472549114744651e-07,-8.462608088578904e-07,0.0,0.0,0.10000002312108631,0.0999997453470376,0.7000001783359581,0.200000311818424,0.20000012718014124,0.5999995412353878,0.9000001915189525,0.9000001856681205
^IXIC,gray,-0.48565335749067523,0.14556983038307994,0.0,0.0,0.655079596516829,0.07663527661546653,0.9,0.0001,0.0001,0.7559070857806305,0.8691210528664355,0.956852142683179
^IXIC,plugin,7.089611756394697e-05,0.10897950317524291,0.0,0.0,0.0001,0.0001,0.00036558342598680513,0.18509938810976687,0.27352519982970197,0.7206046396592106,0.5118425974077522,0.7567803860811931
^IXIC,quadrature,0.02324185880271743,0.1347315735412483,0.0,0.0,0.24044949162107224,0.1729261711245893,0.8239877469065915,0.013497253651634662,0.07373820811986541,0.621447492091502,0.8660633004524865,0.888449927612841
^IXIC,particle,0.0,0.0,0.0,0.0,0.3,0.05,0.85,0.1,0.08,0.78,0.95,0.8
EEM,gray,-0.011288579432093092,0.004964253256184751,0.0,0.0,0.741105707337916,0.17232782196861224,0.8276355002782115,0.0001,0.0001,0.1965978576281641,0.6084951088102827,0.6493475261027322
EEM,plugin,0.03527391583976451,-2.340692249362488e-05,0.0,0.0,0.06569755998583696,0.11912449818426704,0.8789094676538795,0.0001,0.0001,0.0001,0.7691419601378148,0.5141401070894837
EEM,quadrature,0.05011699284267105,0.00012666764275357209,0.0,0.0,0.3670362609019771,0.14039636929585847,0.8589187717881188,0.0001,0.0001,0.0001,0.757801010385704,0.431811071194484
EEM,particle,-5.846087910097424e-07,-5.846087910097424e-07,0.0,0.0,0.09999998831951636,0.09999998831951636,0.7000000233843516,0.19999997662734054,0.19999997662734054,0.5999999298586373,0.8999998959396353,0.8999998959396353
VTV,gray,0.07310678242023594,-2.8842519479533086e-05,0.0,0.0,0.292909172476327,0.3022076824621038,0.6976705507632653,0.0001,0.0001,0.0001,0.730376201053304,0.46239295817734455
VTV,plugin,0.07239744982387754,-3.762798083735512e-05,0.0,0.0,0.14097290834317172,0.37079061034100497,0.6291988872280438,0.0001,0.0001,0.00043962338841657087,0.7877868822959756,0.5169526342574076
VTV,quadrature,0.06298513327979058,-0.000331520562373533,0.0,0.0,0.2014217575237409,0.32565561335277077,0.6728543929456892,0.0001,0.0001,0.0001,0.7729163548834096,0.46690227778485627
VTV,particle,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
^GSPC,gray,0.11513243943489511,-0.3418742870783177,0.0,0.0,0.0001,0.07871731965756887,0.7068072066786322,0.404577323355183,0.2465778947809035,0.7533879511408486,0.9516422911418131,0.8361564937713207
^GSPC,plugin,-0.00012825691526920823,0.07394759504658413,0.0,0.0,0.0001,0.0001,0.0001,0.16464448975720275,0.3089766545871101,0.691019336910201,0.5406605752290404,0.783113740350517
^GSPC,quadrature,0.07653963080145064,-0.00023395335605740582,0.0,0.0,0.3226709878751208,0.31073211500773873,0.6890932047556683,0.0001,0.0001,0.0001,0.7184458217637174,0.4803672919505548
^GSPC,particle,-3.432643281130047e-08,-3.432643281130047e-08,0.0,0.0,0.09999999931415787,0.09999999931415787,0.6999999951949859,0.19999999862762924,0.19999999862762924,0.5999999958815145,0.8999999938898949,0.8999999938898949
