Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
IEI,gray,0.0019179227239512406,0.0005572527783779622,0.0,0.0,0.02558650300380234,0.24090081599835791,0.7561279400584681,0.0001,0.0001,0.0001,0.728021010939255,0.5054069557903984
IEI,plugin,0.012880538993416546,-2.074295190368485e-05,0.0,0.0,0.001660830149795872,0.10306272302568989,0.8969310423423347,0.0001,0.0001,0.0001,0.7408528749898982,0.5921754037774966
IEI,quadrature,0.0005557895087628123,0.00012513025012806688,0.0,0.0,0.0001,0.28454784232880487,0.5718931202824198,0.0001,0.0001,0.0001,0.7159764210533687,0.485264397280498
IEI,particle,-3.6837026374045884e-06,3.6837026374045884e-06,0.0,0.0,0.10000139980700222,0.09999992639962131,0.7000001473481055,0.19999985272556856,0.20000051571836924,0.6000002210221582,0.9000000663066475,0.8999993443009305
TLT,gray,-0.020363729964259586,-0.00011368593861455458,0.0,0.0,0.43104624418355514,0.1624961367317951,0.5545108033770487,0.0001,0.0001,0.0001,0.7466700625988366,0.50530065754425
TLT,plugin,-0.008248039635190349,-8.032980061458739e-05,0.0,0.0,0.06784650383339307,0.1964728880427577,0.8034602236574409,0.0001,0.0001,0.0001,0.7908303789616999,0.5119458054027806
TLT,quadrature,-8.888746968869872e-05,-0.050266462826757195,0.0,0.0,0.0001,0.0001,0.0001,0.1620671462981913,0.1984587368025102,0.7948885639869531,0.4682777388810335,0.7582118390218894
TLT,particle,-3.746321795326056e-08,-3.7881669013063007e-08,0.0,0.0,0.09999999938814583,0.09999999945192369,0.6999999941378617,0.20000001312285298,0.19999999778721703,0.5999999950244279,0.8999999933518147,0.8999999932471503
BNDX,gray,0.006789539194949639,3.0823054120154084e-05,0.0,0.0,0.026186834663641904,0.388618057347251,0.6108051333754725,0.0001,0.0001,0.0001,0.7315720730086506,0.4413782098075577
BNDX,plugin,0.00046633454869964236,0.0081677502706172,0.0,0.0,0.0001,0.0001,0.00202335953664458,0.007615248918355026,0.3010180795203263,0.6989704061393796,0.5175111736324943,0.7284220271769376
BNDX,quadrature,0.007119572740526332,0.0004238606414323121,0.0,0.0,0.0001,0.3053438995860457,0.5660488850127595,0.0001,0.0001,0.0001,0.7077465108959518,0.46566941281096746
BNDX,particle,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
LQD,gray,5.257661643258781e-06,0.00010901927148914518,0.0,0.0,0.0001,0.0001,0.0001,0.07910731709775172,0.3146950699038666,0.6852164587820578,0.3967072348502515,0.7546966483582177
LQD,plugin,-1.4556758046477487e-06,0.032467789097969706,0.0,0.0,0.0001,0.0001,0.0001,0.02948191762024549,0.29399253811688203,0.7060051270453634,0.5094367871345375,0.8024901265830562
LQD,quadrature,0.024325283405728825,-0.0003169642591004872,0.0,0.0,0.017994932343553594,0.2730667063868082,0.726931788623228,0.0001,0.0001,0.0001,0.7045484274340967,0.4638847135667149
LQD,particle,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
HYG,gray,0.024606619694582738,-0.001492413643998331,0.0,0.0,0.0672883073287946,0.40657247643846894,0.5934175396586128,0.0001,0.0001,0.0001,0.8010362232550269,0.4364163739364786
HYG,plugin,0.0015352996665304488,0.040819015114600565,0.0,0.0,0.0001,0.0001,0.21648666199460787,0.029992378063704618,0.3272548810024174,0.6727340241333789,0.6581510987441519,0.7240208785379479
HYG,quadrature,-7.587837133457817e-05,0.05256978643198827,0.0,0.0,0.0001,0.0001,0.0001,0.027192979002552593,0.5074112616827906,0.49257949265932727,0.4018570997653626,0.7372258797802174
HYG,particle,2.363032312422395e-06,2.3589239517598383e-06,0.0,0.0,0.10000089651354177,0.1000003725869749,0.6999996741165925,0.19999990413911947,0.19999990219384775,0.6000001393364355,0.9000000371068007,0.9000000425509489
^TNX,gray,-0.11837768006574967,-0.11533936303942258,0.0,0.0,0.228251634739274,0.12089482862337558,0.8787962270703271,0.04043183049718618,0.07227872621204587,0.7735522343967739,0.9331904981785012,0.8256533657648178
^TNX,plugin,0.08948430375632793,0.15164317685647521,0.0,0.0,0.1531030294249382,0.16224527858927335,0.8343534479671831,0.2503552391020833,0.24716575228776289,0.7192768958603484,0.906508602695343,0.874535813845557
^TNX,quadrature,-0.10404500624199926,0.019339040737417754,0.0,0.0,0.37464660278920875,0.062202262948294215,0.7341637584961231,0.023661315132838732,0.09987635575156317,0.9,0.7448622908308327,0.99
^TNX,particle,-3.4011186826475867e-07,-3.44972040292216e-07,0.0,0.0,0.29999997891724106,0.050000007331489925,0.8499999502128787,0.09999999561504498,0.07999999406142627,0.780000007324298,0.949999952069457,0.7999999343385394
