Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22,LogLik,Converged,AIC,BIC,T_obs,Market,Has_Exo,Pivot,Persist_S1,Persist_S2
ETH-USD,gray,0.6125894764334784,-0.6392531641102773,0.0,0.0,0.5421501775690301,0.0598395365191496,0.8999999999999394,0.3453375735241257,0.1928279529452455,0.8056588198616519,0.9044907254445852,0.7191441107977191,-8106.682607890892,True,16233.365215781783,16292.77461340506,2810,Crypto,False,,0.959839536519089,0.9984867728068973
ETH-USD,plugin,0.3134044662979726,0.1208385881456839,0.0,0.0,0.4090790030133412,0.1081170336617653,0.8918558511403066,0.2186022806780297,0.1249139711273428,0.7827869015648765,0.9506184865386194,0.7508486639004575,-8073.572077867964,False,16167.144155735929,16226.553553359206,2810,Crypto,False,,0.9999728848020719,0.9077008726922193
ETH-USD,quadrature,0.4392510648737264,-0.4403917873293231,0.0,0.0,0.4501081361028088,0.108047264290793,0.8919099004722781,0.2665431128965311,0.1473200587859258,0.7953901833904027,0.9554120433458232,0.7309162185183564,-8120.743217295682,True,16261.486434591365,16320.895832214645,2810,Crypto,False,,0.9999571647630712,0.9427102421763285
ETH-USD,particle,2.228628668112918e-06,-2.223275461982552e-06,0.0,0.0,0.3000007531792435,0.0500003808272262,0.8499996250221358,0.0999999520484296,0.0800003633996966,0.7800000561415217,0.9500000181050374,0.7999996466290199,-9075.702099532711,True,18171.404199065422,18230.813596688706,2810,Crypto,False,,0.900000005849362,0.8600004195412183
LTC-USD,gray,0.4180617940369248,-0.3489989148511659,0.0,0.0,0.4426250033058591,0.1128276807819698,0.8867115904419843,0.258577516532279,0.1439371051959792,0.7943913441255579,0.9562854321634248,0.7336786392417607,-8316.544789550566,False,16653.08957910113,16712.498976724408,2810,Crypto,False,,0.9995392712239541,0.9383284493215371
LTC-USD,plugin,-0.0338885903076576,0.1038739537488782,0.0,0.0,0.4205304892816431,0.1101408370434976,0.8898283174832813,0.2296739641474561,0.1313814141175382,0.7840447802283665,0.9507624597224004,0.7462214622861152,-8269.21281324636,False,16558.42562649272,16617.835024115997,2810,Crypto,False,,0.9999691545267789,0.9154261943459048
LTC-USD,quadrature,0.4244064467636744,-0.3185558099160579,0.0,0.0,0.4448586606522569,0.1151156959419713,0.8848079987200801,0.2610506387227961,0.1455055499877076,0.7942818775174926,0.9563011033977474,0.7326584461199314,-8317.05888472644,False,16654.11776945288,16713.527167076158,2810,Crypto,False,,0.9999236946620513,0.9397874275052002
LTC-USD,particle,-5.9891755987873866e-06,6.054270777152511e-06,0.0,0.0,0.3000018730207152,0.0499985346049481,0.8499988079745541,0.1000027109937506,0.0800006433314143,0.7799994908127136,0.9500002668065888,0.7999995632103293,-9342.673264438776,False,18705.34652887755,18764.755926500828,2810,Crypto,False,,0.8999973425795021,0.8600001341441279
XRP-USD,gray,0.4433814990332772,0.6429787551656168,0.0,0.0,0.3378811341760935,0.1705476597296729,0.7626412764813878,0.4196888319366948,0.2862972899601611,0.7135652054199968,0.8159740332161836,0.8847491443855202,-9143.44614521933,False,18306.89229043866,18366.301688061936,2810,Crypto,False,,0.9331889362110607,0.9998624953801579
XRP-USD,plugin,0.424831822149654,-0.4241739694550088,0.0,0.0,0.4468918608981803,0.1223128339038971,0.8773760219002033,0.2606836417488659,0.1424359264241934,0.7849131467938091,0.9488610578106278,0.734055083136372,-8822.000653668256,False,17664.00130733651,17723.410704959788,2810,Crypto,False,,0.9996888558041004,0.9273490732180025
XRP-USD,quadrature,1.4539460224785532,-1.4449072232685645,0.0,0.0,0.8730533869437878,0.1863000506107252,0.8134219884924572,0.6843950551569253,0.3882515590420232,0.554054240744624,0.7273805597198073,0.7522957949081603,-8514.518260026513,False,17049.036520053025,17108.4459176763,2810,Crypto,False,,0.9997220391031824,0.9423057997866471
XRP-USD,particle,-1.065527839411346e-09,-1.065527839411346e-09,0.0,0.0,0.2999999999360896,0.049999999989366,0.8499999998188815,0.1000000004049005,0.0799999999829728,0.779999999833799,0.9499999997996807,0.7999999998316466,-10373.341933387568,True,20766.683866775136,20826.09326439841,2810,Crypto,False,,0.8999999998082475,0.8599999998167718
DOGE-USD,gray,0.416670079319538,0.0367011732515045,0.0,0.0,0.4396731477415395,0.1063320714804245,0.8934971389721654,0.25769354270691,0.1608566922121398,0.8028759545864942,0.963082215742258,0.731928762438246,-8752.6375837707,False,17525.2751675414,17584.684565164676,2810,Crypto,False,,0.9998292104525899,0.963732646798634
DOGE-USD,plugin,0.2567110102524798,-0.2505017942661514,0.0,0.0,0.3865180903516049,0.1072106159146772,0.8927856809625029,0.1954852746518629,0.1088808343515392,0.7798062412116916,0.947624870089086,0.7611523153362995,-8613.45319717735,False,17246.9063943547,17306.315791977977,2810,Crypto,False,,0.9999962968771801,0.8886870755632308
DOGE-USD,quadrature,0.7571445697967514,0.7575525094254051,0.0,0.0,0.3855883651313235,0.2121319137488656,0.7378279655712877,0.4723113304639768,0.3138930401352182,0.6808810091437139,0.7703996289677348,0.9076344533796956,-9069.313381513322,False,18158.626763026645,18218.03616064992,2810,Crypto,False,,0.9499598793201534,0.9947740492789321
DOGE-USD,particle,0.0,0.0,0.0,0.0,0.3,0.05,0.85,0.1,0.08,0.78,0.95,0.8,-10260.145187524831,False,20540.290375049663,20599.699772672942,2810,Crypto,False,,0.9,0.86
NMC-USD,gray,0.3516369421608992,0.3519378385041566,0.0,0.0,0.4204703844018858,0.112124698514619,0.886099709141723,0.2335699702296812,0.1309858030090913,0.7921586978676276,0.9637648683119544,0.7428028351945476,-9126.193695950502,False,18272.387391901004,18331.79678952428,2810,Crypto,False,,0.998224407656342,0.923144500876719
