Asset,Method,Pivot,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
ES=F,gray,BTC=F,-0.07049896886515604,0.1069476064877567,-0.012196326461348777,0.0036165816292084785,0.5880091778607788,0.23587208926863004,0.7639814098303322,0.023419178003407946,0.1433423388678601,0.2650055436070483,0.7658961825124243,0.8124830927480172
ES=F,plugin,BTC=F,-0.00017671305346331608,0.06303978773553774,-7.13681110526576e-05,-0.0035394909193469993,0.0001,0.0001,0.0001,0.09658470184082517,0.28826029863813296,0.7117333710909689,0.5116945245583888,0.7568525159655777
ES=F,quadrature,BTC=F,0.02044672369325716,0.0655027256989657,-0.002996546490851494,0.0038037503300098496,0.6408194852523813,0.23328611137173794,0.7665876186081263,0.0001,0.07762782687960476,0.15479549311864751,0.7088757603529582,0.7513450543546272
ES=F,particle,BTC=F,1.6929452909123454e-06,1.6929452909123454e-06,0.050001676015838006,0.050001676015838006,0.3000005756013989,0.050000287800699456,0.8499997122331594,0.09999996617495309,0.08000027764302771,0.7800000406306871,0.9500000135435623,0.8000000643319211
NQ=F,gray,BTC=F,0.05682716971734108,0.11043849021016271,-0.012339791236711771,-0.005103907977195668,0.24323812013024848,0.1515136694176351,0.8483578602828549,0.001930136937896594,0.09189526173518614,0.7137739120744507,0.8589224856178925,0.8545265686419942
NQ=F,plugin,BTC=F,-8.373321515136922e-05,0.09565885142685707,-0.00028909248818080314,0.005101498129689538,0.0001,0.0001,0.0001,0.24525614470139753,0.25903489714102756,0.7409636494685143,0.5016459060470863,0.7755258451202537
NQ=F,quadrature,BTC=F,0.06028323520559122,0.1124020381934948,-0.02300005580597701,0.002195164325883163,0.2318426945669762,0.1811495294089553,0.8171505478199235,0.0001,0.1069047996978395,0.6669458128492228,0.8376448401087245,0.8714587513150346
NQ=F,particle,BTC=F,-2.8158829457361556e-07,-7.716162061837142e-07,0.049999395278219096,0.04999890564389577,0.29999943045884275,0.05000036082427017,0.8500003643660452,0.10000062519671081,0.08000080219836873,0.7800009902503546,0.9500003163070572,0.800000516503709
^VIX,gray,BTC=F,0.42366251244578784,0.3489196932620545,0.46862920907712247,-0.38059501128478535,0.444441900051456,0.11772219213769676,0.8811160280307464,0.2612319325101048,0.14976552234149643,0.7963115641460818,0.9416215023103645,0.7347374194514077
^VIX,plugin,BTC=F,0.4222316459942979,-0.42233291619349916,0.46766434497242576,-0.3767267327505115,0.44368194246577514,0.12204489983759191,0.877572238618863,0.2603620147413658,0.14727459265813514,0.7879282570795234,0.9459458220573012,0.7345600341954619
^VIX,quadrature,BTC=F,0.7128289986211811,0.711232077599923,-0.7925844400833361,0.8765864263538872,0.7165992377380626,0.27675837779900136,0.7224234557233277,0.629145467376048,0.30499327361535516,0.6537978716617798,0.7898809696152811,0.8030600463858376
^VIX,particle,BTC=F,4.7795110804252e-07,4.7795110804252e-07,0.04999951726938088,0.05000047317159696,0.30000016250337674,0.049999995230047944,0.8500000047795111,0.10000018162142106,0.0799999923623413,0.7800000114708266,0.9500000038236088,0.8000000181621422
GC=F,gray,BTC=F,0.046722474876748944,0.00023111840875002256,-0.0008481604556897345,0.00017164829019448798,0.8268478878544093,0.048095389194687956,0.0001,0.0001,0.0001,0.0001,0.7484409973183229,0.547065147327782
GC=F,plugin,BTC=F,0.03558393742864891,0.00012043542872109257,-0.0023249632920831517,-5.22661611895028e-06,0.04152734288201168,0.08497298572779646,0.9,0.0001,0.0001,0.0001,0.7598117138801109,0.512904792677287
GC=F,quadrature,BTC=F,0.047902404317031196,0.00025443034794672903,-0.0010393209543856957,0.00022325462474483303,0.8315819370189141,0.0496546377433153,0.0001,0.0001,0.0001,0.0001,0.7490688278466675,0.5467673166371598
GC=F,particle,BTC=F,3.189125978967613e-07,-3.4576582630565004e-07,0.099999635609602,0.0999996376482277,0.09999997564576212,0.10000004956771195,0.6999999272827144,0.19999997718249563,0.19999998153532966,0.5999999517396353,0.8999999293052624,0.8999999458251174
CL=F,gray,BTC=F,0.045560678597344945,0.05931289090766229,-5.9470304023056525e-05,-0.013666088146185446,0.2847785239199842,0.1051981237187371,0.8945224911181391,0.10059526673688685,0.07890097437666423,0.7595174262688429,0.9006575798786878,0.8102682645776202
CL=F,plugin,BTC=F,0.06562194303826582,0.0004907396245177124,0.07614846221482129,0.0004827724011860643,0.2946306187172836,0.16286470140212633,0.8371352908210261,0.0001,0.0001,0.17810095824498243,0.7477985009592806,0.4319910874575682
CL=F,quadrature,BTC=F,0.0780780584840021,0.11439352188929382,0.0026991513219461476,-0.024058281593457503,0.125293319064807,0.06060422184280045,0.9,0.26061855749018603,0.23527409861743623,0.7646538699074976,0.9884492886600327,0.8334328375783383
CL=F,particle,BTC=F,0.0,0.0,0.05,0.05,0.3,0.05,0.85,0.1,0.08,0.78,0.95,0.8
